,id,longitud,latitud,cluster
1913,5341,-3720675462718,40473881926120,89
1914,5342,-3720696072781,40394820886542,186
1915,5343,-3720747136893,40481233994025,188
1916,5344,-3720752729992,40429209870166,255
1917,5345,-3720762067700,40418332756269,191
1918,5346,-3720781723680,40415152629921,147
1919,5347,-3720806869517,40415312962550,147
1920,5348,-3720851153356,40419551806924,191
1921,5349,-3720844143678,40434385037017,80
1922,5350,-3720865021394,40385209032921,109
1923,5351,-3721353838634,40409574495670,282
1924,5352,-3720883443349,40419134698023,191
1925,5354,-3721337849408,40418064402321,191
1926,5355,-3720913172094,40494952638463,123
1927,5356,-3721470390011,40384801874904,109
1928,5357,-3721545405180,40471490021821,89
1929,5358,-3721555668622,40386477101293,109
